Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C73,68n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,233.153,-112.533,180,top
C75,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,244.345,-104.463,180,top
C78,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,229.863,-78.589,90,top
C81,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,225.843,-89.051,90,top
C89,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,199.913,-110.229,90,top
C90,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,229.377,-106.389,0,top
C103,2u2F,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,243.135,-95.885,180,top
C104,2u2F,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,185.426,-89.325,180,top
C105,2u2F,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,185.426,-95.451,180,top
D3,1N4148,D_1206_3216Metric_Pad1.42x1.75mm_HandSolder,240.937,-99.981,-90,top
D5,1N4148,D_1206_3216Metric_Pad1.42x1.75mm_HandSolder,234.875,-77.744,-90,top
D7,LED,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,197.258,-114.137,0,top
FB3,TDK MMZ1608R601ATD25 DB,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,244.545,-92.493,-90,top
FB4,TDK MMZ1608R601ATD25 DB,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,186.442,-92.463,-90,top
R4,500k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,233.353,-110.313,0,top
R5,1M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,229.185,-110.351,0,top
R6,5.76k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,229.185,-112.539,180,top
R7,5.76k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,224.315,-110.663,180,top
R8,240R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,218.007,-105.741,0,top
R9,240R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,213.723,-105.741,180,top
R11,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,217.391,-110.175,-90,top
R13,3k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,202.842136,-103.457,180,top
R14,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,206.931,-103.457,0,top
R17,604,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,202.911284,-114.125,90,top
R18,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,208.254142,-114.125,90,top
R26,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,224.315,-114.713,0,top
R27,5.6k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,206.031,-96.64158,-90,top
R28,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,193.109,-114.441,-90,top
R30,11k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,203.486154,-96.599,-90,top
R31,11k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,199.739568,-102.213846,90,top
R32,5.6k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,206.931,-101.521,0,top
SW1,SW_SPST,SW_SPST_TL3305A,196.445,-85.837,0,top
U1,STM32H747IGTx,LQFP-176_24x24mm_P0.5mm,214.122,-69.596,0,top
U2,OP275,SSOP-8_3.9x5.05mm_P1.27mm,205.147,-108.081,180,top
U4,OP275,SSOP-8_3.9x5.05mm_P1.27mm,224.113,-105.609,-90,top
U5,MIC2920A-3.3WS-TR,SOT-223-3_TabPin2,193.225,-98.113,0,top
U9,MIC2920A-3.3WS-TR,SOT-223-3_TabPin2,241.294,-78.846,0,top
U11,~,LQFP-64_10x10mm_P0.5mm,217.398,-93.96,180,top
Y2,X1E0000210132,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm_HandSoldering,194.4925,-73.734,-90,top
